Seafood Item Category ,Taxon (common name),Location of Study,"Mean Hg Concentration
(ppm, wet weight)",Number of Samples,Data Source (See Supplemental Material for References)
Tuna (fresh/frozen),tuna-bigeye,Indonesia,0.310,1,(Yamashita et al. 2005)
Tuna (fresh/frozen),tuna-bigeye,Thailand-Andaman Sea,0.114,8,(Menasveta and Siriyong 1977)
Tuna (fresh/frozen),tuna-bigeye,"(market, Korea)",0.152,15,(Oh et al. 2008)
Tuna (fresh/frozen),tuna-bigeye,"(market, Canada)",0.483,21,(Health Canada 2007)
Tuna (fresh/frozen),tuna-bigeye,US-Hawaii,0.580,104,(Thieleke 1973)
Tuna (fresh/frozen),tuna-bigeye,US-Hawaii,0.600,50,(Kaneko and Ralston 2007)
Tuna (fresh/frozen),tuna-bigeye,Fiji,0.530,3,(Kumar et al. 2004)
Tuna (fresh/frozen),tuna-bigeye,"(market, Japan)",1.149,12,(Japanese Ministry of Health 2003)
Tuna (fresh/frozen),tuna-bigeye,US,0.342,39,(Hall et al. 1978)
Tuna (fresh/frozen),tuna-bigeye,US-Hawaii,0.472,20,"(State of Hawaii Department of Health, unpublished data)"
Tuna (fresh/frozen),tuna-bigeye (fatty muscle-toro),"(market, US)",0.989,9,(Lowenstein et al. 2010)
Tuna (fresh/frozen),tuna-bigeye (lean muscle-akami),"(market, US)",0.871,36,(Lowenstein et al. 2010)
Tuna (fresh/frozen),tuna-blackfin,US,0.954,8,(USEPA 2011a)
Tuna (fresh/frozen),tuna-blackfin,US-Florida,1.070,37,(Adams 2004)
Tuna (fresh/frozen),tuna-blackfin,US-Louisiana,0.711,1,(State of Louisiana 2011)
Tuna (fresh/frozen),tuna-blackfin,US-Gulf,0.640,48,(Cai et al. 2007)
Tuna (fresh/frozen),tuna-blackfin,US-Louisiana,0.730,22,(Senn et al. 2010)
Tuna (fresh/frozen),tuna-blackfin,Bermuda,0.200,2,(Dewailly et al. 2008)
Tuna (fresh/frozen),tuna-blackfin,US-Louisiana,0.842,18,(State of Louisiana 2011)
Tuna (fresh/frozen),tuna-blackfin,US,0.330,1,(Hall et al. 1978)
Tuna (fresh/frozen),tuna-blackfin,US-Florida,1.160,22,(Adams et al. 2003)
Tuna (fresh/frozen),tuna-bluefin,Canada-Atlantic,0.682,14,(Hellou et al. 1992a)
Tuna (fresh/frozen),tuna-bluefin,"(market, Spain)",0.262,6,(Carbonell et al. 2009)
Tuna (fresh/frozen),tuna-bluefin,Spain ,0.057,5,(Hardisson et al. 1999)
Tuna (fresh/frozen),tuna-bluefin,US-Delaware,1.833,3,(State of Delaware 2010)
Tuna (fresh/frozen),tuna-bluefin,US,0.222,11,(Hall et al. 1978)
Tuna (fresh/frozen),tuna-bluefin,"(market, Italy)",0.249,3,(Plessi et al. 2001)
Tuna (fresh/frozen),tuna-bluefin,Canada-Bay of Fundy,0.712,5,(Harding et al. 2005)
Tuna (fresh/frozen),tuna-bluefin,"(market, Japan)",0.987,30,(Japanese Ministry of Health 2003)
Tuna (fresh/frozen),tuna-bluefin,"(market, Japan)",1.110,58,(Nakagawa et al. 1997)
Tuna (fresh/frozen),tuna-bluefin,Mediterannean,1.010,18,(Storelli et al. 2002)
Tuna (fresh/frozen),tuna-bluefin,Italy,0.200,73,(Storelli et al. 2005)
Tuna (fresh/frozen),tuna-bluefin,Italy,3.030,14,(Licata et al. 2005)
Tuna (fresh/frozen),tuna-bluefin,Italy,0.143,10,(Papetti and Rossi 2009)
Tuna (fresh/frozen),tuna-bluefin,"(market, Spain)",0.596,2,(Sahuquillo et al. 2007)
Tuna (fresh/frozen),tuna-bluefin,Mediterannean,1.020,169,(Storelli and Marcotrigiano 2001)
Tuna (fresh/frozen),tuna-bluefin,US-Massachusetts,0.380,1,(Miller et al. 1972)
Tuna (fresh/frozen),tuna-bluefin,Atlantic-from Asia,0.290,20,(Yamashita et al. 2005)
Tuna (fresh/frozen),tuna-bluefin,Pacific,0.490,16,(Yamashita et al. 2005)
Tuna (fresh/frozen),tuna-bluefin,Indian,0.190,7,(Yamashita et al. 2005)
Tuna (fresh/frozen),tuna-bluefin,Australia,0.340,5,(Padula et al. 2008)
Tuna (fresh/frozen),tuna-bluefin,Australia,0.510,5,(Balshaw et al. 2008)
Tuna (fresh/frozen),tuna-bluefin,Italy,0.560,1,(Yamashita et al. 2005)
Tuna (fresh/frozen),tuna-bluefin (farmed),Australia,0.190,1,(Yamashita et al. 2005)
Tuna (fresh/frozen),tuna-bluefin (farmed),Italy,1.020,2,(Yamashita et al. 2005)
Tuna (fresh/frozen),tuna-bluefin (farmed),Japan,0.586,24,(Nakao et al. 2007)
Tuna (fresh/frozen),tuna-bluefin (farmed),Japan,0.550,30,(Nakao et al. 2009)
Tuna (fresh/frozen),tuna-bluefin (farmed),Australia,0.310,26,(Padula et al. 2008)
Tuna (fresh/frozen),tuna-bluefin (fatty muscle - toro),"(market, US)",0.385,19,(Lowenstein et al. 2010)
Tuna (fresh/frozen),tuna-bluefin (lean muscle - akami),"(market, US)",1.043,10,(Lowenstein et al. 2010)
Tuna (fresh/frozen),tuna-bluefin (Northern),Spain-Mediterranean Sea,0.399,7,(Pastor et al. 1994)
Tuna (fresh/frozen),tuna-bluefin (ranched-136 days),Australia,0.330,10,(Balshaw et al. 2008)
Tuna (fresh/frozen),tuna-bluefin (ranched-243 days),Australia,0.310,5,(Balshaw et al. 2008)
Tuna (fresh/frozen),tuna-bluefin (ranched-355 days),Australia,0.380,5,(Balshaw et al. 2008)
Tuna (fresh/frozen),tuna-bluefin (ranched-494 days),Australia,0.310,5,(Balshaw et al. 2008)
Tuna (fresh/frozen),tuna-bluefin (Southern),"(market, Canada)",0.280,2,(Health Canada 2007)
Tuna (fresh/frozen),tuna-fresh/frozen,"(market, Canada)",0.352,20,(Health Canada 2007)
Tuna (fresh/frozen),tuna-fresh/frozen,"(market, Canada)",0.662,13,(Forsyth et al. 2004)
Tuna (fresh/frozen),tuna-fresh/frozen,"(market, UK)",0.401,20,(Knowles et al. 2003)
Tuna (fresh/frozen),tuna-frozen,"(market, Spain)",0.270,45,(Blanco et al. 2008)
Tuna (fresh/frozen),tuna-kawakawa,Malaysia,0.010,5,(Hajeb et al. 2009)
Tuna (fresh/frozen),tuna-kawakawa,Malaysia,0.007,5,(Hajeb et al. 2010)
Tuna (fresh/frozen),tuna-little thunny,US,0.993,7,(USEPA 2011a)
Tuna (fresh/frozen),tuna-little thunny,US-Florida,0.940,114,(Adams 2004)
Tuna (fresh/frozen),tuna-little thunny,US-Gulf,1.080,9,(Cai et al. 2007)
Tuna (fresh/frozen),tuna-little thunny,Bermuda,0.680,15,(Dewailly et al. 2008)
Tuna (fresh/frozen),tuna-little thunny,US-Louisiana,1.282,1,(State of Louisiana 2011)
Tuna (fresh/frozen),Tuna-little thunny,US-Florida,0.732,19,(Adams et al. 2003)
Tuna (fresh/frozen),tuna-Pacific bonito,"(market, Japan)",0.230,5,(Japanese Ministry of Health 2003)
Tuna (fresh/frozen),tuna-Pacific bonito,"(market, Japan)",0.223,4,(Japanese Ministry of Health 2003)
Tuna (fresh/frozen),tuna-Pacific bonito,US-California,0.119,39,(Hall et al. 1978)
Tuna (fresh/frozen),tuna-skipjack,Azores,0.179,53,(Andersen and Depledge 1997)
Tuna (fresh/frozen),tuna-skipjack,"(market, Canada)",0.090,7,(Dabeka et al. 2004)
Tuna (fresh/frozen),tuna-skipjack,"(market, Canada)",0.070,3,(Health Canada 2007)
Tuna (fresh/frozen),tuna-skipjack,US,0.262,1,(USEPA 2011a)
Tuna (fresh/frozen),tuna-skipjack,"(market, US)",0.144,3,(USFDA 2011)
Tuna (fresh/frozen),tuna-skipjack,US-California,0.450,2,(Miller et al. 1972)
Tuna (fresh/frozen),tuna-skipjack,US-Hawaii,0.420,2,(Miller et al. 1972)
Tuna (fresh/frozen),tuna-skipjack,Philippines,0.260,2,(Miller et al. 1972)
Tuna (fresh/frozen),tuna-skipjack,US-Massachusetts,0.393,3,(Miller et al. 1972)
Tuna (fresh/frozen),tuna-skipjack,US-Pacific,0.180,1,(Miller et al. 1972)
Tuna (fresh/frozen),tuna-skipjack,"(market, Hong Kong)",0.128,3,(Chung et al. 2008)
Tuna (fresh/frozen),tuna-skipjack,"(market, Japan)",0.167,15,(Japanese Ministry of Health 2003)
Tuna (fresh/frozen),tuna-skipjack,US-Hawaii,0.340,10,(Kaneko and Ralston 2007)
Tuna (fresh/frozen),tuna-skipjack,Pacific,0.130,6,(Yamashita et al. 2005)
Tuna (fresh/frozen),tuna-skipjack,US-Hawaii,0.410,20,(Rivers et al. 1972)
Tuna (fresh/frozen),tuna-skipjack,Madagascar,0.194,39,(Kojadinovic et al. 2006)
Tuna (fresh/frozen),tuna-skipjack,Madagascar,0.190,37,(Kojadinovic et al. 2007)
Tuna (fresh/frozen),tuna-skipjack,"(market, Japan)",0.250,18,(Nakagawa et al. 1997)
Tuna (fresh/frozen),tuna-skipjack,Fiji,0.060,12,(Kumar et al. 2004)
Tuna (fresh/frozen),tuna-skipjack,"(market, Fiji)",0.150,5,(Kumar et al. 2004)
Tuna (fresh/frozen),tuna-skipjack,US,0.141,70,(Hall et al. 1978)
Tuna (fresh/frozen),tuna-skipjack,US-Hawaii,0.233,20,"(State of Hawaii Department of Health, unpublished data)"
Tuna (fresh/frozen),tuna-skipjack (filet),"(market, Japan)",0.260,9,(Endo and Haraguchi 2010)
Tuna (fresh/frozen),tuna-striped bonito,"(market, Hong Kong)",0.076,3,(Chung et al. 2008)
Tuna (fresh/frozen),tuna-tongol,"(market, Canada)",0.020,1,(Health Canada 2007)
Tuna (fresh/frozen),tuna-tongol,Malaysia,0.104,4,(Hajeb et al. 2010)
Tuna (fresh/frozen),tuna-tongol,Malaysia,0.120,4,(Hajeb et al. 2009)
Tuna (fresh/frozen),tuna-yellowfin,"(market, US-NJ)",0.650,50,(Burger and Gochfeld 2005)
Tuna (fresh/frozen),tuna-yellowfin,US,0.250,4,(USEPA 2011a)
Tuna (fresh/frozen),tuna-yellowfin,Madagascar,0.154,39,(Kojadinovic et al. 2006)
Tuna (fresh/frozen),tuna-yellowfin,Madagascar,0.200,41,(Kojadinovic et al. 2007)
Tuna (fresh/frozen),tuna-yellowfin,US-Hawaii,0.300,50,(Kaneko and Ralston 2007)
Tuna (fresh/frozen),tuna-yellowfin,"(market, US-NC)",0.575,2,(Levine et al. 2005)
Tuna (fresh/frozen),tuna-yellowfin,US-Louisiana,0.190,18,(Senn et al. 2010)
Tuna (fresh/frozen),tuna-yellowfin,Thailand-Andaman Sea,0.144,16,(Menasveta and Siriyong 1977)
Tuna (fresh/frozen),tuna-yellowfin,US-Florida,0.250,56,(Adams 2004)
Tuna (fresh/frozen),tuna-yellowfin,"(market, Canada)",0.273,4,(Health Canada 2007)
Tuna (fresh/frozen),tuna-yellowfin,"(market, Canada)",0.117,12,(Dabeka et al. 2004)
Tuna (fresh/frozen),tuna-yellowfin,Mexico-Gulf of California,0.030,15,(Garcia-Hernandez et al. 2007)
Tuna (fresh/frozen),tuna-yellowfin,Ghana,0.060,11,(Voegborlo et al. 2006)
Tuna (fresh/frozen),tuna-yellowfin,US-Gulf,0.180,103,(Cai et al. 2007)
Tuna (fresh/frozen),tuna-yellowfin,"(market, US)",0.354,231,(USFDA 2011)
Tuna (fresh/frozen),tuna-yellowfin,"(market, Japan)",0.271,19,(Japanese Ministry of Health 2003)
Tuna (fresh/frozen),tuna-yellowfin,US-Hawaii,0.210,105,(Kraepiel et al. 2003)
Tuna (fresh/frozen),tuna-yellowfin,Fiji,0.110,24,(Kumar et al. 2004)
Tuna (fresh/frozen),tuna-yellowfin,US,0.173,80,(Hall et al. 1978)
Tuna (fresh/frozen),tuna-yellowfin,US-Hawaii,0.480,22,(Rivers et al. 1972)
Tuna (fresh/frozen),tuna-yellowfin,US-Hawaii,0.307,20,"(State of Hawaii Department of Health, unpublished data)"
Tuna (fresh/frozen),tuna-yellowfin,US-Louisiana,0.129,6,(State of Louisiana 2011)
Tuna (fresh/frozen),tuna-yellowfin,US-Hawaii,0.220,100,(Thieleke 1973)
Tuna (fresh/frozen),tuna-yellowfin,Bermuda,0.370,17,(Dewailly et al. 2008)
Tuna (fresh/frozen),tuna-yellowfin,US-Florida,0.300,33,(Adams et al. 2003)
Tuna (fresh/frozen),tuna-yellowfin (filet),"(market, Japan)",0.260,21,(Endo and Haraguchi 2010)
Tuna (fresh/frozen),tuna-yellowfin (fresh),"(market, New Zealand)",0.173,37,(Thomson and Lee 2009)
Tuna (fresh/frozen),tuna-yellowfin (frozen),"(market, Spain)",0.400,21,(Blanco et al. 2008)
Tuna (fresh/frozen),tuna-yellowfin (lean muscle-akami),"(market, US)",0.474,26,(Lowenstein et al. 2010)
"Tuna, albacore (canned)",tuna-albacore (canned),"(market, Canada)",0.356,158,(Health Canada 2007)
"Tuna, albacore (canned)",tuna-albacore (canned),"(market, Canada)",0.166,16,(Forsyth et al. 2004)
"Tuna, albacore (canned)",tuna-albacore (canned),"(market, Hong Kong)",0.205,5,(Chung et al. 2008)
"Tuna, albacore (canned)",tuna-albacore (canned),"(market, Spain)",0.210,75,(Blanco et al. 2008)
"Tuna, albacore (canned)",tuna-albacore (canned),"(market, US)",0.387,3,(Miller et al. 1972)
"Tuna, albacore (canned)",tuna-albacore (canned),"(market, US-IN)",0.252,96,(Shim et al. 2004)
"Tuna, albacore (canned)",tuna-albacore (canned),"(market, Venezuela)",0.155,160,(Tahan et al. 1995)
"Tuna, albacore (canned)",tuna-albacore (canned),"(market, Fiji)",0.200,6,(Kumar et al. 2004)
"Tuna, albacore (canned)",tuna-albacore (canned),"(market, NJ)",0.407,123,(Burger and Gochfeld 2004)
"Tuna, albacore (canned)","tuna-albacore (canned, chunk white)","(market, US-NV)",0.588,107,(Gerstenberger et al. 2010)
"Tuna, albacore (canned)",tuna-albacore (canned/pouch),"(market, US-NC)",0.243,7,(Levine et al. 2005)
"Tuna, albacore (canned)",tuna-albacore (canned/pouch),Ecuador,0.331,7,(Brockman et al. 2009)
"Tuna, albacore (canned)",tuna-albacore (canned/pouch),Thailand,0.484,7,(Brockman et al. 2009)
"Tuna, albacore (canned)",tuna-albacore (canned-oil),US-Pacific NW,0.206,20,(Rasmussen and Morrissey 2007)
"Tuna, albacore (canned)",tuna-albacore (canned-raw),US-Pacific NW,0.232,16,(Rasmussen and Morrissey 2007)
"Tuna, albacore (canned)",tuna-albacore (canned-water),US-Pacific NW,0.193,20,(Rasmussen and Morrissey 2007)
"Tuna, albacore (canned)",tuna-canned (white),"(market, US-Chicago)",0.310,22,(Burger and Gochfeld 2006)
"Tuna, albacore (canned)",tuna-canned (white),"(market, US)",0.350,451,(USFDA 2011)
"Tuna, albacore (canned)",tuna-white,"(market, US-WA)",0.357,63,(USEPA 2005)
"Tuna, canned (light)",tuna-canned (chunk light),"(market, US-IN)",0.145,144,(Shim et al. 2004)
"Tuna, canned (light)",tuna-canned (light),"(market, US-Chicago)",0.100,20,(Burger and Gochfeld 2006)
"Tuna, canned (light)",tuna-canned (light),"(market, US)",0.118,445,(USFDA 2011)
"Tuna, canned (light)",tuna-canned (light),"(market, US)",0.118,45,(Burger and Gochfeld 2004)
"Tuna, canned (light)",tuna-canned (light),"(market, US-WA)",0.126,55,(USEPA 2005)
"Tuna, canned (light)",tuna-canned (light),"(market, US-NC)",0.174,4,(Levine et al. 2005)
"Tuna, canned (light)",tuna-canned light,"(market, Canada)",0.140,1,(Health Canada 2007)
"Tuna, canned (light)",tuna-skipjack (canned),"(market, Hong Kong)",0.142,4,(Chung et al. 2008)
"Tuna, canned (light)",tuna-skipjack (canned),"(market, Canada)",0.047,5,(Forsyth et al. 2004)
"Tuna, canned (light)",tuna-skipjack (canned),"(market, Canada)",0.060,114,(Health Canada 2007)
"Tuna, canned (light)",tuna-skipjack (canned),"(market, New Zealand)",0.074,40,(Thomson and Lee 2009)
"Tuna, canned (light)",tuna-skipjack (canned),"(market, Fiji)",0.080,9,(Kumar et al. 2004)
"Tuna, canned (light)","tuna-skipjack (canned, chunk light)","(market, US-NV)",0.166,65,(Gerstenberger et al. 2010)
"Tuna, canned (light)",tuna-skipjack (vacuum packed),Thailand,0.400,7,(Brockman et al. 2009)
"Tuna, canned (light)",tuna-skipjack (vacuum packed),Ecuador,0.090,7,(Brockman et al. 2009)
"Tuna, canned (light)",tuna-tongol (canned),"(market, US)",0.083,7,(USFDA 2011)
"Tuna, other","Tuna (Albacore, Yellowfin, Bluefin, Skipjack, Etc.)","(market, US)",0.102,2,(USFDA 2011)
"Tuna, other",tuna (cooked),"(market, Spain)",0.420,5,(Cabanero et al. 2004)
"Tuna, other",tuna salad,"(market, US)",0.102,1,(Shim et al. 2005)
"Tuna, other",tuna-bluefin (canned),"(market, Spain)",0.484,7,(Sahuquillo et al. 2007)
"Tuna, other",tuna-canned,"(market, US)",0.154,34,(USFDA 2011)
"Tuna, other",tuna-canned,"(market, US)",0.314,11,(Kamps et al. 1972)
"Tuna, other",tuna-canned,"(market, Canada)",0.025,5,(Forsyth et al. 2004)
"Tuna, other",tuna-canned,"(market, Spain)",0.278,1,(Bordajandi et al. 2004)
"Tuna, other",tuna-canned,Saudi Arabia,0.310,57,(Ashraf 2006)
"Tuna, other",tuna-canned,NA,0.410,135,(Storelli et al. 2010)
"Tuna, other",tuna-canned,"(market, UK)",0.190,54,(Knowles et al. 2003)
"Tuna, other",tuna-canned,"(market, US)",0.285,29,(Ikem and Egiebor 2005)
"Tuna, other",tuna-canned,"(market, Fiji)",0.090,3,(Kumar et al. 2004)
"Tuna, other",tuna-canned,"(market, New Zealand)",0.082,40,(Thomson and Lee 2009)
"Tuna, other",tuna-canned ,Libya,0.290,20,(Voegborlo et al. 1999)
"Tuna, other",tuna-canned ,Persian Gulf,0.117,21,(Khansari et al. 2005)
"Tuna, other",tuna-canned ,"(market, Spain)",0.170,113,(Blanco et al. 2008)
"Tuna, other",tuna-canned (gourmet),"(market, US-Chicago)",0.060,18,(Burger and Gochfeld 2006)
"Tuna, other",tuna-canned in oil,"(market, US)",0.163,40,(USFDA 2008)
"Tuna, Yellowfin canned","tuna-canned, light, yellowfin","(market, US)",0.181,59,(USFDA 2011)
"Tuna, Yellowfin canned",tuna-yellowfin (canned),"(market, Canada)",0.057,11,(Forsyth et al. 2004)
"Tuna, Yellowfin canned",tuna-yellowfin (canned),"(market, Spain)",0.240,109,(Blanco et al. 2008)
"Tuna, Yellowfin canned",tuna-yellowfin (canned),"(market, Hong Kong)",0.085,5,(Chung et al. 2008)
"Tuna, Yellowfin canned",tuna-yellowfin (canned),"(market, Canada)",0.050,74,(Health Canada 2007)
"Tuna, Yellowfin canned",tuna-yellowfin (canned),"(market, New Zealand)",0.029,40,(Thomson and Lee 2009)
Weakfish/Seatrout,seatrout,"(market, Brazil)",0.130,3,(Duarte et al. 2009)
Weakfish/Seatrout,seatrout,US,0.152,38,(USEPA 2011a)
Weakfish/Seatrout,seatrout,"(market, Canada)",0.039,1,(Dabeka et al. 2004)
Weakfish/Seatrout,seatrout (weakfish),US-Atlantic,0.080,1,"(Delaware River Basin Commission, 2011)"
Weakfish/Seatrout,seatrout (weakfish),US-Atlantic,0.033,8,(USEPA 2011b)
Weakfish/Seatrout,seatrout (weakfish),US-Atlantic,0.075,4,(USEPA 2008)
Weakfish/Seatrout,seatrout (weakfish),US,0.139,33,(USEPA 2011a)
Weakfish/Seatrout,seatrout (weakfish),"(market, US)",0.193,38,(USFDA 2011)
Weakfish/Seatrout,seatrout (weakfish),US,0.120,80,(Hall et al. 1978)
Weakfish/Seatrout,seatrout (weakfish),US-New Jersey,0.129,9,(State of New Jersey 2008)
Weakfish/Seatrout,seatrout (weakfish),US-New Jersey,0.167,16,(State of New Jersey 2004)
Weakfish/Seatrout,seatrout (weakfish),US-Virginia,0.037,3,(State of Virginia 2009)
Weakfish/Seatrout,Seatrout species complex,US-Florida,0.189,174,(Adams et al. 2003)
Weakfish/Seatrout,seatrout-acoupa weakfish,Suriname,0.180,8,(Mol et al. 2001)
Weakfish/Seatrout,seatrout-gray,US-Virginia,0.068,1,(State of Virginia 2009)
Weakfish/Seatrout,seatrout-gray,US-Virginia,0.021,1,(State of Virginia 2009)
Weakfish/Seatrout,seatrout-green weakfish,Suriname,0.290,38,(Mol et al. 2001)
Weakfish/Seatrout,seatrout-grey,"(market, US)",0.350,1,(USFDA 2011)
Weakfish/Seatrout,seatrout-sand,US-Florida,0.408,2,(Kannan et al. 1998)
Weakfish/Seatrout,seatrout-sand,US-Louisiana,0.065,3,(State of Louisiana 2011)
Weakfish/Seatrout,seatrout-sand,US,0.050,5,(USEPA 2011a)
Weakfish/Seatrout,seatrout-sand,US-Gulf,0.153,18,(Hall et al. 1978)
Weakfish/Seatrout,seatrout-sand,US-Florida,0.483,104,(Adams et al. 2003)
Weakfish/Seatrout,seatrout-silver,US-Gulf,0.083,43,(Hall et al. 1978)
Weakfish/Seatrout,seatrout-silver,US-Florida,0.254,17,(Adams et al. 2003)
Weakfish/Seatrout,seatrout-speckled,"(market, Canada)",0.048,1,(Dabeka et al. 2004)
Weakfish/Seatrout,seatrout-speckled,US-Virginia,0.034,1,(State of Virginia 2009)
Weakfish/Seatrout,seatrout-speckled,"(market, US)",0.491,4,(USFDA 2011)
Weakfish/Seatrout,seatrout-spotted,US-Florida (South),0.560,14,(Adams et al. 2010)
Weakfish/Seatrout,seatrout-spotted,US-Florida (Indian River Lagoon),0.330,14,(Adams et al. 2010)
Weakfish/Seatrout,seatrout-spotted,US,0.412,227,(USEPA 2011a)
Weakfish/Seatrout,seatrout-spotted,US,0.072,4,(USEPA 2011a)
Weakfish/Seatrout,seatrout-spotted,US-Florida Bay,1.060,70,(Evans and Crumley 2005)
Weakfish/Seatrout,seatrout-spotted,US-Florida,0.400,112,(Rider and Adams 2000)
Weakfish/Seatrout,seatrout-spotted,US-Florida,0.235,30,(Locascio and Rudershausen 2000)
Weakfish/Seatrout,seatrout-spotted,"(market, US)",0.567,2,(USFDA 2011)
Weakfish/Seatrout,seatrout-spotted,US,0.295,78,(Hall et al. 1978)
Weakfish/Seatrout,seatrout-spotted,US-Louisiana,0.112,10,(State of Louisiana 2011)
Weakfish/Seatrout,seatrout-spotted,US-Louisiana,0.043,7,(State of Louisiana 2011)
Weakfish/Seatrout,seatrout-spotted,US-Louisiana,0.068,69,(State of Louisiana 2011)
Weakfish/Seatrout,seatrout-spotted,US-Florida,0.448,786,(Adams et al. 2003)
Weakfish/Seatrout,weakfish (sand),"(market, US)",0.022,1,(USFDA 2011)
Weakfish/Seatrout,weakfish-spotted,US-North Carolina,0.110,26,(State of North Carolina 2011)
Whitefish,whitefish,"(market, US)",0.090,37,(USFDA 2011)
Whitefish,whitefish,Canada - Northern Manitoba,0.196,7,(Jackson 1991)
Whitefish,whitefish,Northern Canada - lakes,0.105,95,(Lockhart et al. 2005)
Whitefish,whitefish-broad,Northern Canada - lakes,0.054,202,(Lockhart et al. 2005)
Whitefish,whitefish-lake,Great Lakes,0.018,104,(Madenjian and O'Connor 2008)
Whitefish,whitefish-lake,Canada - Ontario lakes,0.149,16,(Kidd et al. 1995)
Whitefish,whitefish-lake,US,0.057,171,(USEPA 2011a)
Whitefish,whitefish-lake,Canada - Quebec (La Grande Complex),0.352,75,(Doyon et al. 1998)
Whitefish,whitefish-lake,Canada - Quebec (La Grande Complex),0.097,9,(Schetagne et al. 2000)
Whitefish,whitefish-lake,Great Lakes,0.036,4,(Dellinger et al. 1996)
Whitefish,whitefish-lake,Northern Canada - lakes,0.111,1917,(Lockhart et al. 2005)
Whitefish,whitefish-lake,US-Michigan,0.095,38,(State of Michigan 2011)
Whitefish,whitefish-round,Northern Canada - lakes,0.090,41,(Lockhart et al. 2005)
Whitefish,whitefish-round,Lake Huron,0.045,5,(Miller and Jude 1984)
